"time","sizeS","sizeM","sizeL"
-16.51,0.764255963331507,0.764255963331507,0.764255963331507
-16.5,0.764837660592541,0.764837660592541,0.764837660592541
-16.49,0.765418475988293,0.765418475988293,0.765418475988293
-16.48,0.765998408974853,0.765998408974853,0.765998408974853
-16.47,0.766577459008316,0.766577459008316,0.766577459008316
-16.46,0.767155625544772,0.767155625544772,0.767155625544772
-16.45,0.767732908040316,0.767732908040316,0.767732908040316
-16.44,0.768309305951039,0.768309305951039,0.768309305951039
-16.43,0.768884818733035,0.768884818733035,0.768884818733035
-16.42,0.769459445842395,0.769459445842395,0.769459445842395
-16.41,0.770033186735212,0.770033186735212,0.770033186735212
-16.4,0.770606040867578,0.770606040867578,0.770606040867578
-16.39,0.771178007695587,0.771178007695587,0.771178007695587
-16.38,0.771749086675331,0.771749086675331,0.771749086675331
-16.37,0.772319277262903,0.772319277262903,0.772319277262903
-16.36,0.772888578914394,0.772888578914394,0.772888578914394
-16.35,0.773456991085898,0.773456991085898,0.773456991085898
-16.34,0.774024513233506,0.774024513233506,0.774024513233506
-16.33,0.774591144813313,0.774591144813313,0.774591144813313
-16.32,0.775156885281409,0.775156885281409,0.775156885281409
-16.31,0.775721733980088,0.775721733980088,0.775721733980088
-16.3,0.776285690163873,0.776285690163873,0.776285690163873
-16.29,0.776848753477329,0.776848753477329,0.776848753477329
-16.28,0.777410923584292,0.777410923584292,0.777410923584292
-16.27,0.7779722001486,0.7779722001486,0.7779722001486
-16.26,0.778532582834089,0.778532582834089,0.778532582834089
-16.25,0.779092071304596,0.779092071304596,0.779092071304596
-16.24,0.779650665223957,0.779650665223957,0.779650665223957
-16.23,0.78020836425601,0.78020836425601,0.78020836425601
-16.22,0.780765168064592,0.780765168064592,0.780765168064592
-16.21,0.781321076313539,0.781321076313539,0.781321076313539
-16.2,0.781876088666688,0.781876088666688,0.781876088666688
-16.19,0.782430204787875,0.782430204787875,0.782430204787875
-16.18,0.782983424340939,0.782983424340939,0.782983424340939
-16.17,0.783535746989715,0.783535746989715,0.783535746989715
-16.16,0.784087172398039,0.784087172398039,0.784087172398039
-16.15,0.784637700229751,0.784637700229751,0.784637700229751
